Date,Open,High,Low,Close,Volume
2023-01-01,100.23,101.68,98.42,100.58,10500
2023-01-02,100.58,102.45,99.35,101.77,15000
2023-01-03,101.77,103.23,100.11,102.98,14000
2023-01-04,102.98,104.67,101.92,103.76,16000
2023-01-05,103.76,105.78,102.57,104.89,13000
2023-01-06,104.89,106.35,103.45,105.12,15500
2023-01-07,105.12,107.42,104.56,106.99,14500
2023-01-08,106.99,108.65,105.67,107.58,16200
2023-01-09,107.58,109.11,106.45,108.34,17500
2023-01-10,108.34,109.87,107.55,108.96,13800
2023-01-11,108.96,110.67,108.12,109.45,14900
2023-01-12,109.45,111.43,108.98,110.34,17200
2023-01-13,110.34,111.98,109.67,111.55,13400
2023-01-14,111.55,113.22,110.23,112.11,15800
2023-01-15,112.11,114.32,111.34,113.45,14600
2023-01-16,113.45,115.68,112.67,114.22,15300
2023-01-17,114.22,116.89,113.23,115.56,17400
2023-01-18,115.56,117.32,114.67,116.78,13500
2023-01-19,116.78,118.11,115.45,117.34,16700
2023-01-20,117.34,119.87,116.89,118.56,14800
2023-01-21,118.56,120.34,117.45,119.22,14200
2023-01-22,119.22,121.78,118.34,120.11,16100
2023-01-23,120.11,122.45,119.56,121.23,16900
2023-01-24,121.23,123.89,120.67,122.78,17500
2023-01-25,122.78,124.56,121.89,123.34,14100
2023-01-26,123.34,125.78,122.11,124.22,16600
2023-01-27,124.22,126.32,123.67,125.11,15500
2023-01-28,125.11,127.23,124.45,126.34,15900
2023-01-29,126.34,128.45,125.56,127.22,16300
2023-01-30,127.22,129.78,126.34,128.45,15800
2023-01-31,128.45,130.56,127.12,129.67,17100
2023-02-01,129.67,131.23,128.45,130.11,14500
2023-02-02,130.11,132.89,129.23,131.34,16700
2023-02-03,131.34,133.56,130.45,132.78,15100
2023-02-04,132.78,134.32,131.67,133.45,16000
2023-02-05,133.45,135.89,132.34,134.22,17000
2023-02-06,134.22,136.45,133.11,135.34,16800
2023-02-07,135.34,137.12,134.45,136.78,16200
2023-02-08,136.78,138.56,135.67,137.34,15900
2023-02-09,137.34,139.23,136.12,138.11,15700
2023-02-10,138.11,140.78,137.45,139.67,16400
2023-02-11,139.67,141.32,138.34,140.56,16000
2023-02-12,140.56,142.11,139.23,141.34,17300
2023-02-13,141.34,143.89,140.56,142.78,15800
2023-02-14,142.78,144.32,141.12,143.56,15200
2023-02-15,143.56,145.67,142.34,144.78,16500
2023-02-16,144.78,146.89,143.12,145.34,16900
2023-02-17,145.34,147.23,144.56,146.11,15600
2023-02-18,146.11,148.32,145.78,147.22,16100
2023-02-19,147.22,149.11,146.34,148.56,16700
2023-02-20,148.56,150.89,147.78,149.23,16200
2023-02-21,149.23,151.67,148.45,150.34,16800
2023-02-22,150.34,152.32,149.56,151.11,17500
2023-02-23,151.11,153.12,150.67,152.45,15800
2023-02-24,152.45,154.23,151.34,153.78,16000
2023-02-25,153.78,155.89,152.45,154.67,16200
2023-02-26,154.67,156.78,153.23,155.56,16900
2023-02-27,155.56,157.45,154.34,156.22,17100
2023-02-28,156.22,158.32,155.67,157.34,16400
2023-03-01,157.34,159.23,156.45,158.78,17000
2023-03-02,158.78,160.11,157.56,159.67,16700
2023-03-03,159.67,161.78,158.34,160.56,17300
2023-03-04,160.56,162.89,159.23,161.34,17200
2023-03-05,161.34,163.45,160.12,162.45,16000
2023-03-06,162.45,164.78,161.34,163.56,16400
2023-03-07,163.56,165.32,162.45,164.78,16800
2023-03-08,164.78,166.11,163.56,165.34,17500
2023-03-09,165.34,167.45,164.78,166.11,16900
2023-03-10,166.11,168.23,165.56,167.34,17100
2023-03-11,167.34,169.78,166.45,168.56,16500
2023-03-12,168.56,170.89,167.12,169.23,17400
2023-03-13,169.23,171.56,168.34,170.11,15800
2023-03-14,170.11,172.89,169.45,171.34,16600
2023-03-15,171.34,173.78,170.23,172.56,17200
2023-03-16,172.56,174.32,171.56,173.34,17500
2023-03-17,173.34,175.11,172.34,174.22,16900
2023-03-18,174.22,176.56,173.45,175.34,17000
2023-03-19,175.34,177.78,174.11,176.45,16800
2023-03-20,176.45,178.23,175.56,177.34,16100
2023-03-21,177.34,179.11,176.23,178.56,16700
2023-03-22,178.56,180.32,177.45,179.23,16400
